fields
company
content
creation_time
extension
file_name
file_path
fqdn
gid
group
hostname
image_path
link_target
md5_hash
mime_type
mode
owner
owner_uid
pid
ppid
previous_creation_time
sha1_hash
sha256_hash
signature_valid
signer
uid
user
