fields
application_protocol
content
dest_fqdn
dest_hostname
dest_ip
dest_port
end_time
exe
fqdn
hostname
image_path
in_bytes
network_direction
out_bytes
packet_count
pid
ppid
proto_info
src_fqdn
src_hostname
src_ip
src_port
start_time
tcp_flags
transport_protocol
uid
user
