fields
hostname
http_version
request_body_bytes
request_body_content
request_referrer
requester_ip_address
response_body_bytes
response_body_content
response_status_code
url_domain
url_full
url_remainder
url_scheme
user_agent_device
user_agent_full
user_agent_name
user_agent_version
