fields
access_level
call_trace
command_line
current_working_directory
env_vars
exe
fqdn
guid
hostname
image_path
integrity_level
md5_hash
parent_command_line
parent_exe
parent_guid
parent_image_path
pid
ppid
sha1_hash
sha256_hash
sid
signature_valid
signer
target_address
target_guid
target_name
target_pid
uid
user
