transaction_id,user_id_from,user_id_to,date,value
1,2,2,2013-04-10 14:22:50,24.375
1,2,782477,2013-04-10 14:22:50,0.7709
2,620423,4571210,2011-12-27 11:43:12,614.17495129
2,620423,3,2011-12-27 11:43:12,128.0405196
3,3,782479,2013-04-10 14:22:50,47.1405196
3,3,4,2013-04-10 14:22:50,150.0
4,39337,39337,2012-06-17 12:02:02,0.31081764
4,39337,3,2012-06-17 12:02:02,69.1
5,2071196,2070358,2013-03-04 14:38:05,61.60235182
5,2071196,5,2013-03-04 14:38:05,100.0
6,5,782480,2013-04-10 14:22:50,65.45
6,5,782481,2013-04-10 14:22:50,34.55
7,249462,6,2013-01-30 03:36:23,9.90778707
8,6,782482,2013-04-10 14:22:50,6.90778707
8,6,7,2013-04-10 14:22:50,3.0
9,782483,2022281,2013-03-06 07:57:01,12.0
9,782483,782483,2013-03-06 07:57:01,10.90838
10,782483,782484,2013-04-10 14:22:50,8.0
10,782483,782483,2013-04-10 14:22:50,2.90838
11,1450491,8,2012-07-07 06:16:04,0.001
11,1450491,1450491,2012-07-07 06:16:04,4.0470111
12,8,782487,2013-04-10 14:22:50,32.26071254
13,8,39283,2013-04-05 16:31:09,0.01
13,8,8,2013-04-05 16:31:09,0.0351
14,2428678,2425512,2013-02-18 17:53:07,15.04082358
14,2428678,8,2013-02-18 17:53:07,20.9
15,226636,1932,2013-02-06 18:40:28,1.5595
15,226636,8,2013-02-06 18:40:28,5.97
16,313140,8,2012-12-26 21:13:08,0.45024
16,313140,312595,2012-12-26 21:13:08,2.5285
17,8,8,2013-02-03 10:27:00,4.63537254
17,8,239341,2013-02-03 10:27:00,32.7
18,8,39283,2013-04-05 16:25:15,0.99
18,8,8,2013-04-05 16:25:15,0.269
19,4093964,782488,2012-11-22 13:57:47,1.988
19,4093964,3901557,2012-11-22 13:57:47,4.4919
20,782488,782489,2013-04-10 14:22:50,1.988
21,1626220,1625524,2013-03-21 06:20:47,6.41434354
21,1626220,782490,2013-03-21 06:20:47,1.75788252
